gene	canonical_length	longest_length
A1BG	496	496
A1BG-AS1	0	0
A1CF	595	603
A2M	1475	1475
A2M-AS1	0	0
A2ML1	1455	1455
A2MP1	0	0
A3GALT2	341	341
A4GALT	354	354
A4GNT	341	341
AA06	0	0
AAAS	547	547
AACS	673	673
AACSP1	0	0
AADAC	400	400
AADACL2	402	402
AADACL2-AS1	0	0
AADACL3	408	408
AADACL4	408	408
AADACP1	0	0
AADAT	426	430
AAED1	227	227
AAGAB	316	316
AAK1	962	962
AAMDC	123	148
AAMP	435	436
AANAT	208	253
AAR2	385	385
AARD	156	156
AARS	969	969
AARS2	986	986
AARSD1	413	413
AASDH	1099	1138
AASDHPPT	310	310
AASS	927	927
AATBC	0	0
AATF	561	561
AATK	1375	1375
AATK-AS1	0	0
ABALON	0	0
ABAT	501	501
ABCA1	2262	2262
ABCA10	1544	1544
ABCA11P	0	0
ABCA12	2596	2596
ABCA13	5059	5059
ABCA17P	0	0
ABCA2	2437	2467
ABCA3	1705	1705
ABCA4	2274	2274
ABCA5	1643	1643
ABCA6	1618	1618
ABCA7	2147	2147
ABCA8	1582	1622
ABCA9	1625	1625
ABCA9-AS1	0	0
ABCB1	1281	1281
ABCB10	739	739
ABCB11	1322	1322
ABCB4	1287	1287
ABCB5	1258	1258
ABCB6	843	843
ABCB7	754	754
ABCB8	719	736
ABCB9	767	767
ABCC1	1532	1532
ABCC10	1493	1493
ABCC11	1383	1383
ABCC12	1360	1360
ABCC13	0	0
ABCC2	1546	1546
ABCC3	1528	1528
ABCC4	1326	1326
ABCC5	1438	1438
ABCC5-AS1	0	0
ABCC6	1504	1504
ABCC6P1	0	0
ABCC6P2	0	0
ABCC8	1582	1583
ABCC9	1550	1550
ABCD1	746	746
ABCD2	741	741
ABCD3	660	660
ABCD4	607	607
ABCE1	600	600
ABCF1	846	846
ABCF2	635	635
ABCF3	710	710
ABCG1	679	679
ABCG2	656	656
ABCG4	647	647
ABCG5	652	652
ABCG8	674	674
ABHD1	406	406
ABHD10	307	307
ABHD11	316	316
ABHD11-AS1	0	0
ABHD12	405	405
ABHD12B	363	363
ABHD13	338	338
ABHD14A	272	272
ABHD14A-ACY1	499	499
ABHD14B	211	211
ABHD15	469	469
ABHD16A	559	559
ABHD16B	470	470
ABHD17A	311	362
ABHD17B	294	294
ABHD17C	330	330
ABHD18	383	383
ABHD2	426	426
ABHD3	410	410
ABHD4	343	343
ABHD5	350	350
ABHD6	338	338
ABHD8	440	440
ABI1	509	509
ABI2	476	514
ABI3	367	367
ABI3BP	1076	1076
ABL1	1150	1150
ABL2	1168	1183
ABLIM1	779	779
ABLIM2	646	646
ABLIM3	684	684
ABO	354	354
ABR	860	1119
ABRA	382	382
ABRACL	82	82
ABT1	273	273
ABTB1	479	479
ABTB2	1026	1026
ACAA1	425	425
ACAA2	398	398
ACACA	2384	2384
ACACB	2459	2459
ACAD10	1091	1091
ACAD11	781	781
ACAD8	416	416
ACAD9	622	622
ACADL	431	431
ACADM	426	455
ACADS	413	413
ACADSB	433	433
ACADVL	656	679
ACAN	2531	2531
ACAP1	741	741
ACAP2	779	779
ACAP3	835	835
ACAT1	428	428
ACAT2	398	427
ACBD3	529	529
ACBD4	342	342
ACBD5	526	526
ACBD6	283	283
ACBD7	89	89
ACBD7-DCLRE1CP1	0	0
ACCS	502	502
ACCSL	569	569
ACD	545	545
ACE	1307	1307
ACE2	806	806
ACER1	265	265
ACER2	276	276
ACER3	268	268
ACHE	618	618
ACIN1	1342	1342
ACKR1	339	339
ACKR2	385	385
ACKR3	363	363
ACKR4	351	351
ACLY	1102	1156
ACMSD	337	337
ACO1	890	890
ACO2	781	781
ACOD1	482	482
ACOT1	422	422
ACOT11	595	608
ACOT12	556	556
ACOT13	141	141
ACOT2	484	484
ACOT4	422	422
ACOT6	208	208
ACOT7	371	381
ACOT8	320	320
ACOT9	449	449
